numero,descricao,situacao,estado_conservacao,campus.nome,valor_inicial,valor_liquido_contabil
213033,"MARTELETE PERFURADOR ROMPEDOR PORTÁTIL, POTÊNCIA 850W, TENSÃO 220V, MODELO MPD-853, MARCA DWT",ativo,bom,CAMPUS PRINCESA ISABEL,558.75,529.42
213034,IMPRESSORA 3D- GTMAX3D- PRO CORE A1V2.,ativo,,REITORIA,7770.44,6954.52
213035,IMPRESSORA 3D- GTMAX3D- PRO CORE A1V2.,ativo,,REITORIA,7770.44,6954.52
213036,MANTA AQUECEDORA PARA BALAO 250ML,ativo,bom,CAMPUS JOÃO PESSOA,322.95,312.87
213037,MANTA AQUECEDORA PARA BALAO 250ML,ativo,bom,CAMPUS JOÃO PESSOA,322.95,312.87
213044,AR CONDICIONADO 18000 BTU,ativo,bom,REITORIA,2379.5,2254.55
213045,AR CONDICIONADO 18000 BTU,ativo,bom,REITORIA,2379.5,2254.55
213046,AR CONDICIONADO 18000 BTU,ativo,bom,REITORIA,2379.5,2254.55
213047,AR CONDICIONADO 18000 BTU,ativo,bom,REITORIA,2379.5,2254.55
213048,CONDUTIVIMETRO,ativo,bom,CAMPUS JOÃO PESSOA,1737.0,1682.96
213079,O ALIENISTA ISBN 978856350933,ativo,bom,CAMPUS JOÃO PESSOA,16.91,15.93
213080,O ALIENISTA ISBN 978856350933,ativo,bom,CAMPUS JOÃO PESSOA,16.91,15.93
213081,CAMINHOS CRUZADOS ISBN 9788535926712,ativo,bom,CAMPUS JOÃO PESSOA,20.31,19.12
213082,CINCO MINUTOS ISBN 9788525407337,ativo,bom,CAMPUS JOÃO PESSOA,10.12,9.56
213083,CINCO MINUTOS ISBN 9788525407337,ativo,bom,CAMPUS JOÃO PESSOA,10.12,9.56
213084,CLARA DOS ANJOS ISBN 9788563560391,ativo,bom,CAMPUS JOÃO PESSOA,25.75,24.28
213085,CLARISSA ISBN 9788535907278,ativo,bom,CAMPUS JOÃO PESSOA,22.35,21.02
213086,CLARISSA ISBN 9788535907278,ativo,bom,CAMPUS JOÃO PESSOA,22.35,21.02
213087,A DESCOBERTA DO MUNDO ISBN 978853250912,ativo,bom,CAMPUS JOÃO PESSOA,39.74,37.43
213088,A DESCOBERTA DO MUNDO ISBN 978853250912,ativo,bom,CAMPUS JOÃO PESSOA,39.74,37.43
213089,ESCOLHA O SEU SONHO ISBN 9788526022416,ativo,bom,CAMPUS JOÃO PESSOA,28.53,26.85
213090,ESCOLHA O SEU SONHO ISBN 9788526022416,ativo,bom,CAMPUS JOÃO PESSOA,28.53,26.85
213091,OS ESCRAVOS ISBN 9788525406828,ativo,bom,CAMPUS JOÃO PESSOA,11.48,10.78
213092,ESPUMAS FLUTUANTES ISBN 9788506006924,ativo,bom,CAMPUS JOÃO PESSOA,23.77,22.37
213093,ESPUMAS FLUTUANTES ISBN 9788506006924,ativo,bom,CAMPUS JOÃO PESSOA,23.77,22.37
213094,EU E OUTRAS POESIAS N 82 2ED. ISBN 9788572324779,ativo,bom,CAMPUS JOÃO PESSOA,15.55,14.64
213095,EU E OUTRAS POESIAS N 82 2ED. ISBN 9788572324779,ativo,bom,CAMPUS JOÃO PESSOA,15.55,14.64
213096,FELICIDADE CLANDESTINA ISBN 9788532508171,ativo,bom,CAMPUS JOÃO PESSOA,17.32,16.34
213097,FELICIDADE CLANDESTINA ISBN 9788532508171,ativo,bom,CAMPUS JOÃO PESSOA,17.32,16.34
213098,O GUARANI 3 ED ISBN 9788574806686,ativo,bom,CAMPUS JOÃO PESSOA,29.89,28.14
213099,O GUARANI 3 ED ISBN 9788574806686,ativo,bom,CAMPUS JOÃO PESSOA,29.89,28.14
213100,LUCIOLA ISBN 9788525409546,ativo,bom,CAMPUS JOÃO PESSOA,14.88,14.04
213101,LUCIOLA ISBN 9788525409546,ativo,bom,CAMPUS JOÃO PESSOA,14.88,14.04
213102,A MACA NO ESCURO ISBN 9788532508744,ativo,bom,CAMPUS JOÃO PESSOA,30.57,28.82
213103,A MACA NO ESCURO ISBN 9788532508744,ativo,bom,CAMPUS JOÃO PESSOA,30.57,28.82
213104,A MAO E A LUVA ISBN 9788525409133,ativo,bom,CAMPUS JOÃO PESSOA,12.84,12.07
213105,A MAO E A LUVA ISBN 9788525409133,ativo,bom,CAMPUS JOÃO PESSOA,12.84,12.07
213106,O MULATO ISBN 9788572325189,ativo,bom,CAMPUS JOÃO PESSOA,15.55,14.64
213107,O MULATO ISBN 9788572325189,ativo,bom,CAMPUS JOÃO PESSOA,15.55,14.64
213108,NOITE NA TAVERNA ISBN 9788525408648,ativo,bom,CAMPUS JOÃO PESSOA,11.48,10.78
213109,NOITE NA TAVERNA ISBN 9788525408648,ativo,bom,CAMPUS JOÃO PESSOA,11.48,10.78
213110,PELAS PAREDES MEMORIAS DE MARINA ABRAMOVIC ISBN 9788503013093,ativo,bom,CAMPUS JOÃO PESSOA,50.88,47.94
213111,PELAS PAREDES MEMORIAS DE MARINA ABRAMOVIC ISBN 9788503013093,ativo,bom,CAMPUS JOÃO PESSOA,50.88,47.94
213112,O QUINZE ISBN 9788503012904,ativo,bom,CAMPUS JOÃO PESSOA,40.69,38.31
213113,O QUINZE ISBN 9788503012904,ativo,bom,CAMPUS JOÃO PESSOA,40.69,38.31
213114,O SACI ISBN 9788525062130,ativo,bom,CAMPUS JOÃO PESSOA,27.11,25.5
213115,O SACI ISBN 9788525062130,ativo,bom,CAMPUS JOÃO PESSOA,27.11,25.5
213116,SENHORA ISBN 9788563560599,ativo,bom,CAMPUS JOÃO PESSOA,25.75,24.28
213117,SENHORA ISBN 9788563560599,ativo,bom,CAMPUS JOÃO PESSOA,25.75,24.28
213118,O TEMPO E O VENTO PARTE 1 O CONTINENTE ISBN 9788535923575,ativo,bom,CAMPUS JOÃO PESSOA,37.3,35.13
213119,O TEMPO E O VENTO PARTE 1 O CONTINENTE ISBN 9788535923575,ativo,bom,CAMPUS JOÃO PESSOA,37.3,35.13
213120,O TEMPO E O VENTO PARTE 2 O RETRATO ISBN 9788535929683,ativo,bom,CAMPUS JOÃO PESSOA,35.94,33.84
213121,O TEMPO E O VENTO PARTE 2 O RETRATO ISBN 9788535929683,ativo,bom,CAMPUS JOÃO PESSOA,35.94,33.84
213122,O TEMPO E O VENTO PARTE III O ARQUIPELAGO ISBN 9788535929706,ativo,bom,CAMPUS JOÃO PESSOA,47.48,44.68
213123,O TEMPO E O VENTO PARTE III O ARQUIPELAGO ISBN 9788535929706,ativo,bom,CAMPUS JOÃO PESSOA,47.48,44.68
213124,TIL ISBN 9788525426192,ativo,bom,CAMPUS JOÃO PESSOA,11.48,10.78
213125,TIL ISBN 9788525426192,ativo,bom,CAMPUS JOÃO PESSOA,11.48,10.78
213126,AS TRES MARIAS ISBN 97885030008150,ativo,bom,CAMPUS JOÃO PESSOA,32.54,30.65
213127,AS TRES MARIAS ISBN  9788503013239,ativo,bom,CAMPUS JOÃO PESSOA,30.5,28.75
213128,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213129,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213130,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213131,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213132,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213133,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213134,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213135,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213136,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213137,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213138,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213139,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213140,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213141,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213142,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213143,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213144,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213145,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213146,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213147,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213148,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213149,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213150,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213151,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213152,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213153,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213154,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213155,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213156,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213157,CADEIRA EXECUTIVA GIRATORIA (ESTACAO DE TRABALHO),ativo,bom,REITORIA,740.0,701.15
213158,SERRA ESQUADRIA,ativo,bom,REITORIA,3445.94,3265.06
213159,MARTELETE PERFURADOR rompedor 850w marca:dwtMPD853 c brocas 5x110  6x110  8x110  6x160 8x160,ativo,bom,CAMPUS CAMPINA GRANDE,558.75,529.42
213160,disco espaçador padrão CBR/ISC.,pendente,,,149.6,149.6
213161,disco espaçador padrão CBR/ISC.,pendente,,,149.6,149.6
213162,disco espaçador padrão CBR/ISC.,pendente,,,149.6,149.6
213163,disco espaçador padrão CBR/ISC.,pendente,,,149.6,149.6
213164,"conjunto slump test completo (cone,concha, colap, base, haste, régua).",pendente,,,199.97,199.97
213165,"conjunto slump test completo (cone,concha, colap, base, haste, régua).",pendente,,,199.97,199.97
213166,forma para concreto 10 x 20cm zincada,pendente,,,50.0,50.0
213167,forma para concreto 10 x 20cm zincada,pendente,,,50.0,50.0
213168,forma para concreto 10 x 20cm zincada,pendente,,,50.0,50.0
213169,forma para concreto 10 x 20cm zincada,pendente,,,50.0,50.0
213170,forma para concreto 10 x 20cm zincada,pendente,,,50.0,50.0
213171,forma para argamassa 5 x 10cm.,pendente,,,46.99,46.99
213172,forma para argamassa 5 x 10cm.,pendente,,,46.99,46.99
213173,forma para argamassa 5 x 10cm.,pendente,,,46.99,46.99
213174,forma para argamassa 5 x 10cm.,pendente,,,46.99,46.99
213175,forma para argamassa 5 x 10cm.,pendente,,,46.99,46.99
213176,kit de limite de plasticidade,pendente,,,142.0,142.0
213177,kit de limite de plasticidade,pendente,,,142.0,142.0
213178,BOMBA VACUO,ativo,bom,CAMPUS JOÃO PESSOA,1650.0,1598.69
213179,BOMBA VACUO,ativo,bom,CAMPUS JOÃO PESSOA,1650.0,1598.69
213180,Scanner TIPO III KODAK,ativo,,CAMPUS CATOLÉ DO ROCHA,3944.99,3530.8
213181,Placa de vidro com aresta 50x50cm x 3mm,pendente,,,36.74,36.74
213182,Placa de vidro com aresta 50x50cm x 3mm,pendente,,,36.74,36.74
213183,Placa de vidro com aresta 50x50cm x 3mm,pendente,,,36.74,36.74
213184,Placa de vidro com aresta 50x50cm x 3mm,pendente,,,36.74,36.74
213185,Placa de vidro com aresta 50x50cm x 3mm,pendente,,,36.74,36.74
213186,Placa de vidro com aresta 50x50cm x 3mm,pendente,,,36.74,36.74
213187,Placa de vidro com aresta 50x50cm x 3mm,pendente,,,36.74,36.74
213188,Placa de vidro com aresta 50x50cm x 3mm,pendente,,,36.74,36.74
213189,Placa de vidro com aresta 50x50cm x 3mm,pendente,,,36.74,36.74
213190,Bússola 40x15mm,ativo,,CAMPUS CATOLÉ DO ROCHA,74.9,67.06
213191,Bússola 40x15mm,ativo,,CAMPUS CATOLÉ DO ROCHA,74.9,67.06
213192,Bússola 40x15mm,ativo,,CAMPUS CATOLÉ DO ROCHA,74.9,67.06
213193,Bússola 40x15mm,ativo,,CAMPUS CATOLÉ DO ROCHA,74.9,67.06
213194,Bússola 40x15mm,ativo,,CAMPUS CATOLÉ DO ROCHA,74.9,67.06
213195,Bússola 40x15mm,ativo,,CAMPUS CATOLÉ DO ROCHA,74.9,67.06
213196,Bússola 40x15mm,ativo,,CAMPUS CATOLÉ DO ROCHA,74.9,67.06
213197,Bússola 40x15mm,ativo,,CAMPUS CATOLÉ DO ROCHA,74.9,67.06
213198,"Estação total, marca FOIF modelo RTS102 (acompanha: um tripé de alumínio, 2 primas e 2 bastões extensíveis",ativo,,CAMPUS CATOLÉ DO ROCHA,11499.0,11096.5
213199,Teodolito eletrônico marca FOIF (acompanha um tripé de alumínio),ativo,,CAMPUS CATOLÉ DO ROCHA,4399.0,4245.0
213200,Estação Total marca FOIF (Acompanha 1 bastão extensível e 1 prisma),ativo,,CAMPUS CATOLÉ DO ROCHA,12499.0,12061.5
213201,Tripé de alumínio marca FOIF,ativo,,CAMPUS CATOLÉ DO ROCHA,360.0,347.4
213202,Tripé de alumínio marca FOIF,ativo,,CAMPUS CATOLÉ DO ROCHA,360.0,347.4
213203,"Receptor GPS marca FOIF  (Acompanha 1 base nivelante, 1 tripé de alumínio marca FOIF, 1 bastão de fibra e 1 tripé de bastão)",ativo,,CAMPUS CATOLÉ DO ROCHA,59600.0,57514.0
213204,"ARMÁRIO PARA FERRAMENTAS - Painel para fixação de ferramentas nas paredes do armário; - Estrutura metálica; - 02 portas com abertura total; - Tranca única para as portas; - Acompanha chave reserva; - Material chapa de aço carbono; - Pintura eletrostática; - Medidas mínimas do armário: Comprimento 60 cm, Largura 23 cm, Altura 98 cm.",ativo,,CAMPUS ITABAIANA,805.0,762.72
213205,"ARMÁRIO PARA FERRAMENTAS - Painel para fixação de ferramentas nas paredes do armário; - Estrutura metálica; - 02 portas com abertura total; - Tranca única para as portas; - Acompanha chave reserva; - Material chapa de aço carbono; - Pintura eletrostática; - Medidas mínimas do armário: Comprimento 60 cm, Largura 23 cm, Altura 98 cm.",ativo,,CAMPUS ITABAIANA,805.0,762.72
213206,"ARMÁRIO PARA FERRAMENTAS - Painel para fixação de ferramentas nas paredes do armário; - Estrutura metálica; - 02 portas com abertura total; - Tranca única para as portas; - Acompanha chave reserva; - Material chapa de aço carbono; - Pintura eletrostática; - Medidas mínimas do armário: Comprimento 60 cm, Largura 23 cm, Altura 98 cm.",ativo,,CAMPUS ITABAIANA,805.0,762.72
213207,"ARMÁRIO PARA FERRAMENTAS - Painel para fixação de ferramentas nas paredes do armário; - Estrutura metálica; - 02 portas com abertura total; - Tranca única para as portas; - Acompanha chave reserva; - Material chapa de aço carbono; - Pintura eletrostática; - Medidas mínimas do armário: Comprimento 60 cm, Largura 23 cm, Altura 98 cm.",ativo,,CAMPUS ITABAIANA,805.0,762.72
213208,LEGO Mindstorms Education EV3 Core Set,ativo,,CAMPUS CATOLÉ DO ROCHA,2989.0,2675.12
213209,LEGO Mindstorms Education EV3 Core Set,ativo,,CAMPUS CATOLÉ DO ROCHA,2989.0,2675.12
213210,LEGO Mindstorms Education EV3 Core Set,ativo,,CAMPUS CATOLÉ DO ROCHA,2989.0,2675.12
213211,LEGO Mindstorms Education EV3 Core Set,ativo,,CAMPUS CATOLÉ DO ROCHA,2989.0,2675.12
213212,LEGO Mindstorms Education EV3 Core Set,ativo,,CAMPUS CATOLÉ DO ROCHA,2989.0,2675.12
213213,LEGO Mindstorms Education EV3 Core Set,ativo,,CAMPUS CATOLÉ DO ROCHA,2989.0,2675.12
213214,LEGO Mindstorms Education EV3 Core Set,ativo,,CAMPUS CATOLÉ DO ROCHA,2989.0,2675.12
213215,LEGO Mindstorms Education EV3 Core Set,ativo,,CAMPUS CATOLÉ DO ROCHA,2989.0,2675.12
213216,LEGO Mindstorms Education EV3 Core Set,ativo,,CAMPUS CATOLÉ DO ROCHA,2989.0,2675.12
213217,LEGO Mindstorms Education EV3 Core Set,ativo,,CAMPUS CATOLÉ DO ROCHA,2989.0,2675.12
213218,Projetor de Multimídia EPSON modelo POWERLITE S41+,ativo,,CAMPUS CATOLÉ DO ROCHA,1838.01,1741.48
213219,Projetor de Multimídia EPSON modelo POWERLITE S41+,ativo,,CAMPUS CATOLÉ DO ROCHA,1838.01,1741.48
213220,Projetor de Multimídia EPSON modelo POWERLITE S41+,ativo,,CAMPUS CATOLÉ DO ROCHA,1838.01,1741.48
213221,Projetor de Multimídia EPSON modelo POWERLITE S41+,ativo,,CAMPUS CATOLÉ DO ROCHA,1838.01,1741.48
213222,Projetor de Multimídia EPSON modelo POWERLITE S41+,ativo,,CAMPUS CATOLÉ DO ROCHA,1838.01,1741.48
213223,Projetor de Multimídia EPSON modelo POWERLITE S41+,ativo,,CAMPUS CATOLÉ DO ROCHA,1838.01,1741.48
213224,Projetor de Multimídia EPSON modelo POWERLITE S41+,ativo,,CAMPUS CATOLÉ DO ROCHA,1838.01,1741.48
213225,Projetor de Multimídia EPSON modelo POWERLITE S41+,ativo,,CAMPUS CATOLÉ DO ROCHA,1838.01,1741.48
213226,Condicionador de ar Split Piso Teto 48.000 BTUs marca ELGIN,pendente,,,5489.0,5489.0
213227,Condicionador de ar Split Piso Teto 48.000 BTUs marca ELGIN,pendente,,,5489.0,5489.0
213228,"TV AOC LED 43"" SMART",ativo,,CAMPUS CATOLÉ DO ROCHA,1820.0,1724.45
213229,"TV AOC LED 43"" SMART",ativo,,CAMPUS CATOLÉ DO ROCHA,1820.0,1724.45
213230,"TV AOC LED 43"" SMART",ativo,,CAMPUS CATOLÉ DO ROCHA,1820.0,1724.45
213231,"TV AOC LED 43"" SMART",ativo,,CAMPUS CATOLÉ DO ROCHA,1820.0,1724.45
213232,Conjunto de sólidos geométricos em acrílico cm 37 peças,pendente,,,2719.99,2719.99
213233,Conjunto de sólidos geométricos em acrílico cm 37 peças,pendente,,,2719.99,2719.99
213234,Medidor de ar incorporado para concreto capacidade 8 litros,ativo,,CAMPUS CATOLÉ DO ROCHA,3640.19,3512.79
213235,Casagrande manual com contador de golpes,ativo,,CAMPUS CATOLÉ DO ROCHA,992.1,957.38
213236,Casagrande manual com contador de golpes,ativo,,CAMPUS CATOLÉ DO ROCHA,992.1,957.38
213237,Molde cilíndrico para CBR/ISC 6.,ativo,,CAMPUS CATOLÉ DO ROCHA,294.95,284.66
213238,Molde cilíndrico para CBR/ISC 6.,ativo,,CAMPUS CATOLÉ DO ROCHA,294.95,284.66
213239,Molde cilíndrico para CBR/ISC 6.,ativo,,CAMPUS CATOLÉ DO ROCHA,294.95,284.66
213240,Molde cilíndrico para CBR/ISC 6.,ativo,,CAMPUS CATOLÉ DO ROCHA,294.95,284.66
213241,"Teodolito eletrônico marca FOIF, modelo DT402L  (acompanha 1 mira de alumínio marca FOIF e 1 baliza marca FOIF)",ativo,,CAMPUS CATOLÉ DO ROCHA,4646.0,4483.39
213242,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213243,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213244,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213245,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213246,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213247,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213248,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213249,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213250,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213251,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213252,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213253,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213254,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213255,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213256,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213257,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213258,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213259,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213260,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213261,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213262,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213263,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213264,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213265,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213266,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213267,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213268,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213269,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213270,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213271,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213272,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213273,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213274,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213275,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213276,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213277,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213278,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213279,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213280,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213281,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213282,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213283,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213284,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213285,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
213286,Bibliocanto L 18x14x10,ativo,,CAMPUS CATOLÉ DO ROCHA,6.28,5.93
